"gene","weight_P0","weight_P7","nonzero_P0","nonzero_P7","in_both","same_sign","direction","DE_log2FC_P0","DE_padj_P0","DE_log2FC_P7","DE_padj_P7","in_shared_KO_up","in_CONFOUND","removed_by_ubiquity","ubiquitous_cm_dominant","in_E2F_TARGETS","in_hallmark_E2F","class","chr","feature_space","NOTE"
"Iqgap1",0,-0.176209538611511,FALSE,TRUE,FALSE,FALSE,"down_in_KO",0.0289579254497343,0.791804321857547,-0.615367411644471,1.08053090538463e-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","7","controlled","descriptive_n1_sex_confounded_depth_matched"
"Cd83",0,0.172802613727505,FALSE,TRUE,FALSE,FALSE,"up_in_KO",-0.161956320131849,0.394415547302889,0.136755256752541,0.492619243041641,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","13","controlled","descriptive_n1_sex_confounded_depth_matched"
"Cenpm",0.17267866207118,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.799394847429835,1.59580749316262e-33,1.26020312863102,2.73272243052715e-80,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"other","15","controlled","descriptive_n1_sex_confounded_depth_matched"
"Cenpw",-0.171893801786075,-0.00594273574351691,TRUE,TRUE,TRUE,TRUE,"down_in_KO",-0.782856948199988,5.2356785474718e-46,0.510254361323806,1.55262587724748e-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","10","controlled","descriptive_n1_sex_confounded_depth_matched"
"Moxd1",-0.170555807500462,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.0110266556544825,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","10","controlled","descriptive_n1_sex_confounded_depth_matched"
"Tyms",0.169865631859108,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.381284564241702,5.76401760240785e-06,0.961882837125219,1.08613622671145e-40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","5","controlled","descriptive_n1_sex_confounded_depth_matched"
"Heyl",0.169481503713865,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",-0.0890632295141854,0.660719063505329,-0.274605216780755,0.180361814479199,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","4","controlled","descriptive_n1_sex_confounded_depth_matched"
"Ankrd37",0.169225978189356,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.405337844328497,0.00420817378363383,-0.962786606630234,7.14568752101383e-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","8","controlled","descriptive_n1_sex_confounded_depth_matched"
"Rhou",0.167193015692828,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.682384638199015,1.98373520100672e-05,0.817376831897648,0.000424911629976055,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","8","controlled","descriptive_n1_sex_confounded_depth_matched"
"Col13a1",0,0.1671774081923,FALSE,TRUE,FALSE,FALSE,"up_in_KO",0.0334678680660606,0.877995581346726,0.765828584074391,0.00605874617071556,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","10","controlled","descriptive_n1_sex_confounded_depth_matched"
"Tuba8",0,-0.167061884835094,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.27621336351542,0.0608699032594712,-1.00905043471282,1.12251481715075e-83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","6","controlled","descriptive_n1_sex_confounded_depth_matched"
"Nlrp4e",0.16627436048093,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",1.59022478487105,1.12576376213626e-10,0.808319425835053,2.51700983063203e-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","7","controlled","descriptive_n1_sex_confounded_depth_matched"
"Spns2",-0.159275455002398,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.192621230971834,0.313114164931779,-0.0744114762189755,0.665357573884719,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","11","controlled","descriptive_n1_sex_confounded_depth_matched"
"Mbd4",-0.158153989127835,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-1.45091900745657,7.85162194920865e-53,0.731510783070892,1.19140057912112e-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","6","controlled","descriptive_n1_sex_confounded_depth_matched"
"Tnfrsf1b",0.157951598950296,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.347834517760812,0.10527432846197,-0.182646967500296,0.18274053204782,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","4","controlled","descriptive_n1_sex_confounded_depth_matched"
"Dusp5",0,-0.152232506082393,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.337465876972828,3.54765917218431e-06,-1.03700645005876,1.56621492136618e-27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","19","controlled","descriptive_n1_sex_confounded_depth_matched"
